Degree,Estimated Price,Std. Deviation,CI Lower Bound,CI Upper Bound
3,9.032772157477442,0.08300364003020524,9.0309,9.0346
4,8.470545753210285,0.08508307775202094,8.4686,8.4725
5,8.528287753221402,0.08577642892238377,8.5264,8.5302
6,8.667211218817464,0.10289669805572901,8.6649,8.6695
7,8.754551966471457,0.08775142567503086,8.7526,8.7565
8,8.796194178936434,0.07268681448176303,8.7946,8.7978
9,8.712615831652315,0.06615306907614064,8.7111,8.7141
10,8.59826670923315,0.07638447099601667,8.5966,8.6
11,8.54013434424329,0.09770115675350458,8.5379,8.5423
12,8.539814135871367,0.09646607146121727,8.5377,8.542
13,8.504029216986272,0.07879565431813389,8.5023,8.5058
14,8.401297800466363,0.07004412958992044,8.3997,8.4029
15,8.379746765276577,0.09061553304091784,8.3777,8.3818
16,8.43997980503936,0.11207896331807439,8.4375,8.4425
17,8.584375376544807,0.14271623390991764,8.5812,8.5876
18,8.703661758896722,0.11930960619891129,8.701,8.7063
19,8.743433824993643,0.08175883459011188,8.7416,8.7453
20,8.708533015236144,0.08687524311395414,8.7066,8.7105
21,8.600680506343755,0.07530245391724638,8.599,8.6024
22,8.428245399415154,0.10523244345920779,8.4259,8.4306
23,8.345304032425844,0.17079115970988265,8.3415,8.3491
24,8.285189364874183,0.15119303390601993,8.2818,8.2886
25,8.461404993074417,0.3025244447910005,8.4546,8.4682
26,8.59140645796845,0.2876871889641867,8.585,8.5979
27,8.78984288508643,0.3043885793951971,8.783,8.7967
28,9.227536496487145,0.30783516726801463,9.2206,9.2344
29,9.45809868136125,0.3810059201399676,9.4496,9.4666
